Id,SalePrice
1461,126685.664
1462,161279.64
1463,186797.72
1464,188971.17
1465,193258.64
1466,180026.47
1467,177144.98
1468,169007.75
1469,174420.42
1470,121713.85
1471,202626.9
1472,93644.01
1473,99817.125
1474,156228.31
1475,138105.34
1476,378312.47
1477,263256.12
1478,297067.44
1479,266363.72
1480,532077.94
1481,311905.66
1482,197536.94
1483,160036.81
1484,166431.5
1485,176460.92
1486,196325.75
1487,341030.97
1488,223395.8
1489,206531.36
1490,206928.03
1491,189945.42
1492,92971.18
1493,177889.16
1494,284986.94
1495,269347.78
1496,234635.78
1497,181685.08
1498,154088.47
1499,157773.17
1500,152860.25
1501,173910.5
1502,154827.28
1503,322351.75
1504,230258.27
1505,211658.92
1506,174036.97
1507,222924.55
1508,199339.19
1509,161428.5
1510,145870.98
1511,140665.42
1512,160811.27
1513,145902.8
1514,186612.02
1515,197605.95
1516,144978.52
1517,150994.1
1518,127597.25
1519,218770.42
1520,134849.67
1521,132610.86
1522,163420.72
1523,114364.414
1524,124903.59
1525,120729.57
1526,123012.4
1527,105187.23
1528,142285.94
1529,145703.98
1530,180041.17
1531,114535.54
1532,100407.96
1533,151206.05
1534,120220.78
1535,154674.83
1536,111833.75
1537,70979.305
1538,178897.53
1539,226195.45
1540,94009.28
1541,146733.62
1542,146508.12
1543,223773.38
1544,82679.83
1545,108183.54
1546,126439.16
1547,150455.5
1548,138484.61
1549,112256.945
1550,141669.95
1551,111706.94
1552,140959.95
1553,142413.03
1554,111128.89
1555,174526.33
1556,81690.78
1557,98065.81
1558,89527.02
1559,98805.46
1560,136995.48
1561,129181.71
1562,129723.87
1563,120443.35
1564,151293.44
1565,150790.06
1566,243499.56
1567,72457.914
1568,230486.25
1569,131521.12
1570,126890.88
1571,125998.336
1572,151539.5
1573,225493.11
1574,114146.414
1575,220312.75
1576,232434.08
1577,203254.08
1578,144064.47
1579,144248.1
1580,192116.73
1581,149972.77
1582,128353.85
1583,324657.6
1584,222679.23
1585,141261.33
1586,69591.28
1587,105208.734
1588,152340.05
1589,117778.875
1590,134266.94
1591,106052.47
1592,120059.04
1593,117883.72
1594,131148.92
1595,102417.3
1596,240154.19
1597,179223.61
1598,205948.9
1599,187715.05
1600,180203.53
1601,75174.95
1602,111378.266
1603,82788.94
1604,278407.75
1605,240257.4
1606,172543.34
1607,132795.34
1608,210222.03
1609,198679.0
1610,165402.72
1611,134319.77
1612,154574.2
1613,167061.58
1614,120058.84
